"Type","Object Type","Default Value","Language","Translation","Status"
"attribute","CWF Flow Name","Requisition Approval","","","Archived"
"attribute","CWF Flow Name","Requisition Approval 2","","","Archived"
"attribute","CWF Flow Name","Asset Assignment","","","Active"
"attribute","CWF Flow Name","Manager Change","","","Active"
"attribute","CWF Flow Name","Location Change ","","","Active"
"attribute","CWF Flow Name","Designation Change","","","Archived"
"attribute","CWF Flow Name","Employee Movement","","","Active"
"attribute","CWF Flow Name","Compensation Change","","","Active"
"attribute","CWF Flow Name","Requisition Approval Flow","","","Active"
"attribute","CWF Flow Name","Offer Letter approval","","","Active"
"attribute","CWF Flow Name","Onboarding ","","","Active"
"attribute","CWF Flow Name","Employee Type","","","Archived"
"attribute","CWF Flow Name","Skip flow Test","","","Archived"
"attribute","CWF Flow Name","DUMMY Manager Change","","","Archived"
"attribute","CWF Flow Name","POSH Declaration","","","Active"
"attribute","CWF Flow Name","NDA","","","Active"
"attribute","CWF Flow Name","Absconding","","","Active"
"attribute","CWF Flow Name","Business Card","","","Active"
"attribute","CWF Flow Name","Course Completion Workflow","","","Archived"
"attribute","CWF Flow Name","Compensation Change","","","Archived"
"attribute","CWF Flow Name","Address Change","","","Active"
"attribute","CWF Flow Name","New Certification Request","","","Active"
"attribute","CWF Flow Name","Certification Completion","","","Active"
"attribute","CWF Flow Name","Project Change","","","Active"
"attribute","CWF Flow Name","Contract Extension","","","Active"
"attribute","CWF Flow Name","Designation Change","","","Active"
"attribute","CWF Flow Name","Location Change Request","","","Active"
"attribute","CWF Flow Name","Compensation Change Workflow","","","Active"
"attribute","CWF Flow Name","Salary Check Flow","","","Archived"
"attribute","CWF Flow Name","Employee Type Change","","","Archived"
"attribute","CWF Flow Name","Life Insurance Nomination Form","","","Active"
"attribute","CWF Flow Name","Transfer Letter","","","Active"
"attribute","CWF Flow Name","Onboarding workflow- Consultant","","","Active"
"attribute","CWF Flow Name","Welcome Mail ","","","Active"
"attribute","CWF Flow Name","New Position Creation","","","Draft"
"attribute","CWF Flow Name","ONB Onboarding Workflow Custom Flow","","","Draft"
