"Name","Code","Row ID","Stage Name","Stage Category","Action","Action Type","Attendance - Use Shift Block","Assignee","Assignee Employee","Use Decision Matrix","Decision Matrix","Reviewers","SLA for Reviewer Task","SLA for Evaluation Task","Visibility","Confidential","Sla Setting","Skip for","Skip Settings","Trigger Point","Trigger Before/After","Trigger - Number of Days(Default will be 0)","Trigger - Enter Condition","Set Delay (Number of Days)","Send to Personal Email","Send to Primary Mobile","Notification With Review/Invite - CC Recipients","Notification With Review/Invite - CC Roles","Policy - Mandatory Sign-off","Select Existing Document","Policy - Include option to decline","Help Desk Title","Help Desk Description","Select Helpdesk Category","Select Helpdesk Sub- Category","Data Collection - Enable Review","Schedule Assessment - Select Mode (Automatic/ Manual)","Schedule Assessment - Evaluation Type","Schedule Assessment - Cut-off Percentage","Schedule Assessment - No.of Days to expire","Select Attendance Attributes ","Schedule Assessment - Select Evaluators","Send Recognition - Recognition Program","Allow assignee to skip the task","Allow assignee to skip the Review Task","Data Collection - Select Reviewers","Data Collection - Reviewer Context","Notification with calendar invite - Event Name","Email when policy signoff is declined - CC Roles Declined","Email when policy signoff is declined - CC Users Declined","Extra Payments/Extra Deductions - Allowed Categories(Regular)","Extra Payments/Extra Deductions - Allowed Categories(Component based)","Extra Payments/Extra Deductions - Logic for value","Extra Payments/Extra Deductions - Logic for clawback date","Engagement Flow -Trigger Survey -  Select Channel(Email/Task)","Trigger Verification - Select Verification Initiator","Alloted Time","Assignee Context","Assignment Basis","Email when task is assigned - Select Email Template","Email when the due date is completed - Select Email Template","Email when workflow stage is canceled/skipped - Select Email Template","Email when policy signoff is declined - Select Email Template","Email when task is submitted for review - Select Email Template","Email when Reviewer sends back the form - Select Email Template","When Assessment is scheduled - Select Email Template","When evaluation result is received - Select Email Template","When Verification is Triggered - Select Email Template","When workflow stage is completed - Select Email Template","Email when task is assigned - Additional Recipients","Email when the due date is completed - Additional Recipients","Email when workflow stage is canceled/skipped - Additional Recipients","Email when policy signoff is declined - Additional Recipients","Email when task is submitted for review - Additional Recipients","Email when Reviewer sends back the form - Additional Recipients","When Assessment is scheduled - Additional Recipients","When evaluation result is received - Additional Recipients","When Verification is Triggered - Additional Recipients","When workflow stage is completed - Additional Recipients","Email when task is assigned - Default Email Recipients","Email when the due date is completed - Default Email Recipients","Email when workflow stage is canceled/skipped - Default Email Recipients","Email condition when policy signoff is declined - Default Email Recipients","Email when task is submitted for review - Default Email Recipients","Email when Reviewer sends back the form - Default Email Recipients","When Assessment is scheduled - Default Email Recipients","When evaluation result is received - Default Email Recipients","When Verification is Triggered - Default Email Recipients","When workflow stage is completed - Default Email Recipients","Email when task is assigned - CC Recipient Roles","Email when task is assigned - CC Recipient Users","Email when workflow stage is canceled/skipped - CC Recipient Roles","Email when workflow stage is canceled/skipped - CC Recipient Users","Email when the due date is completed - CC Recipient Roles","Email when the due date is completed - CC Recipient Users","Email when task is submitted for review - CC Recipient Roles","Email when task is submitted for review - CC Recipient Users","Email when Reviewer sends back the form - CC Recipient Roles","Email when Reviewer sends back the form - CC Recipient Users","When workflow stage is completed - CC Recepient Users","When workflow stage is completed - CC Recepient Roles","Cancel button alias","Skip button alias","Add button alias","Schedule button alias","Send Back button alias","Delegate button alias","View Details button alias","Submit button alias","Decline button alias","Sign off button alias","Initiate button alias","Successful button alias","Unsuccessful button alias","Submit and Send Email button alias","Reschedule button alias","Save As Draft button alias","Update button alias","Submit For Review button alias","Status"
"PIP Workflow","WF_1","R1","PIP Goal Setting","Workflow Task","","Data Collection - Forms","","Manager","","","","","","","Manager|L2 Manager|Employee direct HRBP","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"PIP Workflow","WF_1","R2","Employee Acknowledgement","Workflow Task","","Data Collection - Forms","","Self","","","","","","","Self|Manager|L2 Manager|Employee direct HRBP","","","","","Evaluation of Condition","After","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"PIP Workflow","WF_1","R3","Week 1 - Manager Feedback","Workflow Task","Text Field","Data Collection - Forms","","Manager","","","","","","","Manager|L2 Manager|Employee direct HRBP","","","","","Evaluation of Condition","After","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"PIP Workflow","WF_1","R4","Week 2 - Manager Feedback","Workflow Task","Text Field","Data Collection - Forms","","Manager","","","","","","","Self|Manager|L2 Manager|Employee direct HRBP","","","","","Completion","After","","3","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"PIP Workflow","WF_1","R5","Week 3 - Manager Feedback","Workflow Task","Text Field","Data Collection - Forms","","Manager","","","","","","","Self|Manager|L2 Manager|Employee direct HRBP","","","","","Completion","After","","4","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"PIP Workflow","WF_1","R6","Week 4 - Manager Feedback","Workflow Task","Text Field","Data Collection - Forms","","Manager","","","","","","","Self|Manager|L2 Manager|Employee direct HRBP","","","","","Completion","After","","5","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"PIP Workflow","WF_1","R7","Final Manager Feedback","Workflow Task","Text Field","Data Collection - Forms","","Self","","","","","","","Self|Manager|L2 Manager|Employee direct HRBP","","","","","Evaluation of Condition","After","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"PIP Workflow","WF_1","R8","HR Action","Workflow Task","","Data Collection - Forms","","Employee direct HRBP","","","","","","","Manager|L2 Manager|Employee direct HRBP","","","","","Evaluation of Condition","After","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active"
"Asset Assignment","WF_2","","IT Asset Assignment","Workflow Task","IT Asset Allocation form","Data Collection - Forms","","Self","","","","","","","Admin","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Asset Assignment","WF_3","","IT Asset Assignment","Workflow Task","Dropdown","Data Collection - Forms","","Manager","","","","","","","Admin","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Asset Assignment","WF_4","","IT Asset Assignment","Workflow Task","","Data Collection - Forms","","Manager","","","","","","","Admin","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Asset Assignment","WF_5","","IT Asset Assignment","Workflow Task","","Data Collection - Forms","","Manager","","","","","","","Manager|Admin","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Asset Assignment","WF_6","","IT Asset Assignment","Workflow Task","IT Asset Allocation form","Data Collection - Forms","","","","","","","","","Manager|Admin","","","","","Trigger Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Asset Assignment","WF_7","","IT Asset Assignment","Workflow Task","IT Asset Allocation form","Data Collection - Forms","","","","","","","","","Manager|Admin","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Asset Assignment","WF_8","","IT Asset Assignment","Workflow Task","","Data Collection - Forms","","","","","","","","","Manager|Admin","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
"Asset Assignment","WF_9","","IT Asset Assignment","Workflow Task","","Data Collection - Forms","","","","","","","","","Manager|Admin","","","","","Approval Date","After","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Subject","Source","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Inactive"
